features_sorted,feature_names_EWRE
4608,rift
4052,pollution
481,beer
5106,soon
3724,opposite
3578,neutralize
3000,knitting
2582,horrible
3415,miranda
4985,sinus
3089,lem
666,brisket
2744,indian
739,calendar
3929,personality
4616,rip
5871,user
2369,grant
5951,visitor
217,annoyed
4461,release
2520,herbal
1606,domingo
1978,fairy
2591,host
3967,pie
4355,reason
4468,relief
1076,computation
3505,multiplayer
411,badminton
4212,propose
406,backyard
2509,heighten
3590,nicely
3697,oftentimes
1726,effortful
5477,tedious
51,acid
4419,reflux
5013,sleeper
5537,thin
2267,gang
3414,miracle
4516,reprimand
121,aggressively
1945,expression
3461,monetary
4170,probation
2539,hiring
1351,deathly
4586,revenge
328,assign
4191,program
1906,excruciatingly
199,analyst
5226,steam
1997,farm
1158,continue
5156,spiral
5120,spa
3664,obscure
3532,narrow
5420,swing
2134,follow
1973,fade
3090,lemon
5169,spot
2354,graduate
644,breath
4611,rigid
744,calmer
1986,falsity
6113,workaholic
4213,proprietary
200,analytic
